OBJECTID,name
1,Adams-Normandie
2,Arleta
3,Arlington Heights
4,Atwater Village
5,Baldwin Hills/Crenshaw
6,Bel-Air
7,Beverly Crest
8,Beverly Grove
9,Beverlywood
10,Boyle Heights
11,Brentwood
12,Broadway-Manchester
13,Canoga Park
14,Carthay
15,Central-Alameda
16,Century City
17,Chatsworth
18,Chatsworth Reservoir
19,Chesterfield Square
20,Cheviot Hills
21,Chinatown
22,Cypress Park
23,Del Rey
24,Downtown
25,Eagle Rock
26,East Hollywood
27,Echo Park
28,El Sereno
29,Elysian Park
30,Elysian Valley
31,Encino
32,Exposition Park
33,Fairfax
34,Florence
35,Glassell Park
36,Gramercy Park
37,Granada Hills
38,Green Meadows
39,Griffith Park
40,Hancock Park
41,Hansen Dam
42,Harbor City
43,Harbor Gateway
44,Harvard Heights
45,Harvard Park
46,Highland Park
47,Historic South-Central
48,Hollywood Hills
49,Hollywood Hills West
50,Hollywood
51,Hyde Park
52,Jefferson Park
53,Koreatown
54,Lake View Terrace
55,Larchmont
56,Leimert Park
57,Lincoln Heights
58,Los Feliz
59,Manchester Square
60,Mar Vista
61,Mid-City
62,Mid-Wilshire
63,Mission Hills
64,Montecito Heights
65,Mount Washington
66,North Hills
67,North Hollywood
68,Northridge
69,Pacific Palisades
70,Pacoima
71,Palms
72,Panorama City
73,Pico-Robertson
74,Pico-Union
75,Playa del Rey
76,Playa Vista
77,Porter Ranch
78,Rancho Park
79,Reseda
80,San Pedro
81,Sawtelle
82,Sepulveda Basin
83,Shadow Hills
84,Sherman Oaks
85,Silver Lake
86,South Park
87,Studio City
88,Sunland
89,Sun Valley
90,Sylmar
91,Tarzana
92,Toluca Lake
93,Tujunga
94,University Park
95,Valley Glen
96,Valley Village
97,Van Nuys
98,Venice
99,Vermont Knolls
100,Vermont-Slauson
101,Vermont Square
102,Vermont Vista
103,Watts
104,West Adams
105,Westchester
106,West Hills
107,Westlake
108,West Los Angeles
109,Westwood
110,Wilmington
111,Windsor Square
112,Winnetka
113,Woodland Hills
114,Lake Balboa
